Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
St Kilda,77/151 Fitzroy St,1,u,400000,S,Pride,28/08/2016,6.1,3182,1,1,1,0,,,Port Phillip City Council,-37.8591,144.979,Southern Metropolitan,13240
Armadale,7/53 Wattletree Rd,1,u,,SP,hockingstuart,4/3/2017,6.3,3143,1,1,0,881,,,Stonnington City Council,-37.8614,145.0222,Southern Metropolitan,4836
Surrey Hills,71 Croydon Rd,5,h,,S,Marshall,9/12/2017,10.2,3127,5,3,5,1003,254,1910,Boroondara City Council,-37.82323,145.09386,Southern Metropolitan,5457
Fawkner,1/12 Brooks St,3,t,460000,SP,Eview,15/10/2016,12.4,3060,3,1,1,314,112,1970,Hume City Council,-37.7066,144.9733,Northern Metropolitan,5070
Port Melbourne,1/29 Beaconsfield Pde,3,u,2610000,S,RT,24/02/2018,3.5,3207,,,,,,,Melbourne City Council,,,Southern Metropolitan,8648
Taylors Hill,29 Nepean Wy,4,h,700000,VB,YPA,10/3/2018,18,3037,4,2,2,630,239,2005,Melton City Council,-37.71782,144.75353,Western Metropolitan,4242
Mount Waverley,319 Blackburn Rd,3,h,,PI,Harcourts,24/06/2017,14.2,3149,3,1,2,1093,,,Monash City Council,-37.88242,145.14619,Eastern Metropolitan,13366
Glen Iris,5/10 Osborne Av,2,u,535000,S,Jellis,17/02/2018,7.3,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Northcote,1A Walker St,4,h,,SN,McGrath,12/11/2016,5.5,3070,4,2,2,0,,,Darebin City Council,-37.7828,144.9941,Northern Metropolitan,11364
Richmond,308 Lennox St,2,h,1220000,S,Biggin,10/12/2016,2.6,3121,2,1,1,166,88,1900,Yarra City Council,-37.8245,144.9933,Northern Metropolitan,14949
Eltham North,15 Marian Ct,4,h,950000,PI,Buckingham,9/9/2017,18,3095,4,2,2,651,198,1990,Banyule City Council,-37.68739,145.14437,Eastern Metropolitan,2346
Hadfield,4 Surrey St,4,h,870000,S,Barry,3/12/2016,12.1,3046,4,3,5,591,268,2010,Moreland City Council,-37.7127,144.9489,Northern Metropolitan,2606
Hawthorn East,37 Auburn Gr,3,h,,SN,Kay,25/02/2017,7.5,3123,3,2,2,229,,1900,Boroondara City Council,-37.8256,145.0487,Southern Metropolitan,6482
Burwood,1/11 Greenwood St,4,t,,PI,Ray,18/06/2016,11.7,3125,,,,,,,Monash City Council,,,Southern Metropolitan,5678
Ashburton,21 Warner Av,4,h,1920000,S,Jellis,19/08/2017,10.2,3147,4,3,2,391,203,2016,Boroondara City Council,-37.86664,145.08597,Southern Metropolitan,3052
Heidelberg Heights,23 Swanston St,3,h,945000,S,Collings,7/10/2017 0:00,8.8,3081,3,2,3,,146,1950,Banyule City Council,-37.73848,145.0547,Eastern Metropolitan,2947
Campbellfield,56 Somerset Rd,3,h,570000,SP,Barry,25/11/2017,16.6,3061,,,,,,,Hume City Council,,,Northern Metropolitan,1889
Mount Waverley,12 Pall Mall,3,h,1700000,VB,Jellis,26/08/2017,14.2,3149,3,1,2,,,,Monash City Council,-37.8763,145.12316,Eastern Metropolitan,13366
Bentleigh East,2/111 Marlborough St,3,t,,SN,Gary,11/11/2017 0:00,13.8,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Hampton East,28 Roydon St,3,t,1150000,S,McGrath,22/08/2016,14.5,3188,3,2,1,0,3,2005,Bayside City Council,-37.9355,145.0276,Southern Metropolitan,2356
Kew,2/10 Wishart St,3,h,,S,Nelson,13/05/2017,5.6,3101,,,,,,,Boroondara City Council,,,Southern Metropolitan,10331
Camberwell,64A Christowel St,2,h,1470000,S,Noel,25/02/2017,7.8,3124,2,1,2,400,,,Boroondara City Council,-37.8393,145.0662,Southern Metropolitan,8920
Brighton East,4/24 Thomas St,2,u,561000,S,Gary,26/08/2017,10.3,3187,2,1,1,,,,Bayside City Council,-37.91688,145.02339,Southern Metropolitan,6938
Southbank,308/18 Kavanagh St,1,u,455000,S,Greg,11/2/2017 0:00,1.2,3006,1,1,0,760,70,2007,Melbourne City Council,-37.8228,144.9661,Southern Metropolitan,8400
Williamstown North,2/60 Kororoit Creek Rd,3,t,720000,SP,Jas,13/05/2017,8.9,3016,3,2,2,146,141,2001,Hobsons Bay City Council,-37.857,144.8846,Western Metropolitan,802
Coburg,13 Shaftsbury St,4,h,1742000,SP,Nelson,15/10/2016,7.8,3058,3,2,4,482,256,2006,Darebin City Council,-37.7529,144.9534,Northern Metropolitan,11204
Moonee Ponds,116 Dean St,4,h,1310000,S,Nelson,25/11/2017,6.2,3039,4,1,2,457,,,Moonee Valley City Council,-37.7683,144.9328,Western Metropolitan,6232
Sunbury,32 Gilchrist Cr,3,h,465000,S,One,18/11/2017,31.7,3429,,,,,,,Hume City Council,,,Western Metropolitan,14092
Canterbury,38 Victoria Av,4,h,,PI,RT,9/9/2017 0:00,8.4,3126,4,3,2,,385,2002,Boroondara City Council,-37.81895,145.07627,Southern Metropolitan,3265
Wantirna South,12 McLean Ct,4,h,1440000,S,Ray,16/09/2017,14.7,3152,4,3,6,717,247,1985,Knox City Council,-37.87831,145.24575,Eastern Metropolitan,7082
South Yarra,7/49 Adams St,1,u,539000,S,Williams,11/11/2017 0:00,2.7,3141,,,,,,,Melbourne City Council,,,Southern Metropolitan,14887
Narre Warren,1/7 Fleetwood Dr,2,u,,SN,O'Brien,16/09/2017,34.1,3805,,,,,,,Casey City Council,-38.03898,145.30641,South-Eastern Metropolitan,9376
Elwood,10/127 Brighton Rd,2,u,521000,S,hockingstuart,19/08/2017,7.2,3184,2,1,1,,,,Port Phillip City Council,-37.87475,144.9908,Southern Metropolitan,8989
Balaclava,5/171 Hotham St,2,u,490000,VB,hockingstuart,29/04/2017,6.6,3183,2,1,0,601,,,Port Phillip City Council,-37.8757,144.998,Southern Metropolitan,2952
Montmorency,1/17 Alexander St,3,h,1080500,S,Jellis,17/03/2018,16.2,3094,,,,,,,Banyule City Council,,,Eastern Metropolitan,3891
Glen Waverley,22 Stableford Av,3,h,,S,Ray,1/7/2017 0:00,16.7,3150,,,,,,,Monash City Council,,,Eastern Metropolitan,15321
Newport,16 Elphin St,4,h,,PI,Raine,18/11/2017,6.2,3015,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5498
Richmond,108/381 Punt Rd,2,u,770000,VB,Jellis,24/02/2018,2.4,3121,,,,,,,Yarra City Council,,,Northern Metropolitan,14949
East Melbourne,510 Victoria Pde,3,h,1450000,SP,Nelson,13/08/2016,1.5,3002,,,,,,,Melbourne City Council,,,Northern Metropolitan,3040
Richmond,105/18 Tanner St,1,u,499000,S,Peter,16/09/2017,2.4,3121,,,,,,,Yarra City Council,-37.82309,144.99056,Northern Metropolitan,14949
Malvern East,1993 Malvern Rd,3,h,,S,Marshall,30/07/2016,11.2,3145,3,1,2,578,155,1930,Stonnington City Council,-37.8718,145.0628,Southern Metropolitan,8801
Bentleigh East,16 Clifton St,4,h,1216000,S,Jellis,3/9/2017 0:00,13.8,3165,4,1,2,583,,,Glen Eira City Council,-37.93206,145.07929,Southern Metropolitan,10969
Oak Park,1 Ash Gr,3,h,955000,S,Considine,8/4/2017 0:00,11.5,3046,3,1,2,690,,1950,Moreland City Council,-37.7167,144.9127,Northern Metropolitan,2651
Collingwood,2/157 Hotham St,3,t,,SP,Jellis,3/6/2017 0:00,2,3066,,,,,,,Yarra City Council,,,Northern Metropolitan,4553
Bentleigh East,27 Neville St,4,h,1960000,S,hockingstuart,4/3/2017 0:00,13.9,3165,4,2,4,601,,,Glen Eira City Council,-37.9234,145.0533,Southern Metropolitan,10969
Thornbury,9 Ethel St,3,t,865000,S,buyMyplace,13/05/2017,6.5,3071,3,2,2,194,,2000,Darebin City Council,-37.7538,144.9991,Northern Metropolitan,8870
Ringwood North,18 Montalbo Rd,4,h,970000,VB,Hoskins,17/03/2018,19.9,3134,4,2,2,1146,,,Manningham City Council,-37.80719,145.21723,Eastern Metropolitan,3619
Toorak,3/765 Malvern Rd,2,u,575000,S,Luxe,18/06/2016,4.6,3142,2,1,1,0,,2008,Stonnington City Council,-37.8498,145.0173,Southern Metropolitan,7217
Elwood,4/7 Vautier St,2,u,852500,S,Ray,24/02/2018,7.2,3184,,,,,,,Port Phillip City Council,,,Southern Metropolitan,8989
Port Melbourne,201/2 Rouse St,2,u,600000,VB,Buxton,9/9/2017 0:00,3.5,3207,2,1,1,,85,2005,Melbourne City Council,-37.84432,144.94372,Southern Metropolitan,8648
Wheelers Hill,5 Timaru Ct,4,h,,PI,Ray,22/07/2017,16.7,3150,4,2,1,653,,,Monash City Council,-37.91685,145.17456,South-Eastern Metropolitan,7392
Moorabbin,6 Wimmera St,3,h,825000,PI,Buxton,28/05/2016,14.6,3189,3,1,2,538,,,Kingston City Council,-37.9454,145.0507,Southern Metropolitan,2555
Eltham,5/1174 Main Rd,2,h,636000,S,Jellis,28/10/2017,18,3095,,,,,,,Banyule City Council,,,Eastern Metropolitan,6990
Box Hill,3/14 Bedford St,3,t,750000,S,Jellis,15/10/2016,13.1,3128,3,2,1,150,3,2000,Whitehorse City Council,-37.8287,145.1319,Eastern Metropolitan,4605
Surrey Hills,1/308 Canterbury Rd,2,u,805000,S,hockingstuart,13/08/2016,11.2,3127,2,1,2,297,,,Boroondara City Council,-37.8255,145.092,Southern Metropolitan,5457
Tarneit,146 Inverell Pky,3,h,536250,SP,YPA,23/09/2017,18.4,3029,,,,,,,Wyndham City Council,,,Western Metropolitan,10160
Balwyn North,16 Sylvan St,4,t,1680000,S,Noel,18/03/2017,9.2,3104,4,3,1,362,200,2014,Boroondara City Council,-37.7987,145.0788,Southern Metropolitan,7809
Essendon,26 Bradshaw St,4,h,1402000,S,Nelson,11/2/2017,8,3040,4,2,1,554,193,1940,Moonee Valley City Council,-37.7508,144.8937,Western Metropolitan,9264
Ashburton,22 Duke St,4,h,2170000,S,Marshall,17/06/2017,10.2,3147,4,2,2,697,,,Boroondara City Council,-37.86015,145.07735,Southern Metropolitan,3052
Greenvale,102 Greenvale Dr,4,h,900000,SP,Raine,24/02/2018,20.4,3059,4,2,2,1134,324,1980,Hume City Council,-37.64221,144.8926,Northern Metropolitan,4864
Point Cook,1/8 Ancona Ct,2,t,411000,S,LJ,3/2/2018,14.7,3030,,,,,,,Wyndham City Council,,,Western Metropolitan,15542
South Yarra,5/6 Tivoli Pl,2,u,863000,S,hockingstuart,4/3/2017,3.3,3141,2,2,1,742,,1950,Melbourne City Council,-37.8357,144.9867,Southern Metropolitan,14887
Bulleen,2A Austin St,3,h,1100000,PI,Barry,28/10/2017,10.8,3105,3,3,3,,200,2004,Manningham City Council,-37.76472,145.08315,Eastern Metropolitan,4480
Mill Park,5 Teralba Cl,3,h,,VB,HAR,21/10/2017,17.9,3082,3,1,2,,126,1990,Whittlesea City Council,-37.65311,145.04181,Northern Metropolitan,10529
Glenroy,39 Melbourne Av,3,h,670000,S,Brace,14/05/2016,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870
Camberwell,19 Stanhope Gr,4,h,,S,Jellis,17/09/2016,7.8,3124,4,2,2,1003,252,1906,Boroondara City Council,-37.8243,145.0655,Southern Metropolitan,8920
Mill Park,4 Carlita Cl,4,h,732000,S,Harcourts,3/6/2017,17.9,3082,3,2,1,808,184,1980,Whittlesea City Council,-37.67348,145.06982,Northern Metropolitan,10529
Surrey Hills,1/16 Bentley St,3,t,,S,Jellis,7/5/2016,11.2,3127,3,2,2,323,,1996,Boroondara City Council,-37.8296,145.11,Southern Metropolitan,5457
Croydon,6 Cheeseman St,3,h,840000,VB,McGrath,16/09/2017,23,3136,3,2,1,,,1947,Maroondah City Council,-37.78392,145.29946,Eastern Metropolitan,11925
Ascot Vale,23 Haven Cr,3,h,980000,VB,Nelson,17/03/2018,4.3,3032,3,2,2,225,,,Moonee Valley City Council,-37.77469,144.90453,Western Metropolitan,6567
Doncaster,52 Timber Rdg,5,h,1360000,S,Fletchers,13/05/2017,13.9,3108,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028
Balwyn,18 Linckens Cr,4,h,2410000,S,Jellis,15/10/2016,9.7,3103,,,,,,,Boroondara City Council,,,Southern Metropolitan,5682
Preston,28 Tynan St,3,h,1000000,S,Nelson,8/10/2016,8.8,3072,3,1,2,463,,,Darebin City Council,-37.7339,144.9897,Northern Metropolitan,14577
Yarraville,1a Stanger St,3,t,796000,S,Jas,25/11/2017,6.3,3013,3,2,1,,,,Maribyrnong City Council,-37.814,144.864,Western Metropolitan,6543
Bentleigh,16 Wheatley Rd,4,h,,PN,hockingstuart,27/05/2017,11.4,3204,4,2,2,766,,,Glen Eira City Council,-37.91596,145.03282,Southern Metropolitan,6795
Mentone,154 Oak Av,3,t,,SN,Charlton,7/10/2017,20,3194,3,2,2,217,,,Kingston City Council,-37.97486,145.0716,South-Eastern Metropolitan,6162
Windsor,9/58 The Avenue,1,u,412500,S,Beller,10/12/2016,5.1,3181,1,1,1,0,,,Port Phillip City Council,-37.8533,144.9986,Southern Metropolitan,4380
Balwyn North,6 Aquila St,5,h,3000000,VB,Marshall,26/08/2017,9.7,3104,5,4,2,830,,,Boroondara City Council,-37.78739,145.07389,Southern Metropolitan,7809
Keilor East,11 Wunnamurra Dr,3,h,933000,SP,Nelson,16/09/2017,11.7,3033,3,1,2,613,,,Brimbank City Council,-37.7349,144.86225,Western Metropolitan,5629
Port Melbourne,11/39 Esplanade Pl,2,u,910000,S,Cayzer,10/12/2016 0:00,3.8,3207,,,,,,,Melbourne City Council,,,Southern Metropolitan,8648
Moonee Ponds,34 Wilson St,3,h,1490000,S,Jellis,6/1/2018 0:00,6.2,3039,3,1,1,349,,,Moonee Valley City Council,-37.76304,144.92831,Western Metropolitan,6232
Ashburton,2/43 Warner Av,3,t,,SP,Marshall,25/02/2017,11,3147,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052
Templestowe Lower,13 Morang Av,5,h,1600000,SP,Jellis,17/02/2018,12.4,3107,5,2,2,726,246,1970,Manningham City Council,-37.75959,145.10193,Eastern Metropolitan,5420
St Kilda,1/146 St Kilda Rd,1,u,460000,S,McGrath,10/2/2018 0:00,5,3182,,,,,,,Port Phillip City Council,,,Southern Metropolitan,13240
Mentone,5/94 Beach Rd,2,u,525000,S,Thomson,17/06/2017,20,3194,2,1,1,723,,,Kingston City Council,-37.99121,145.06458,South-Eastern Metropolitan,6162
Edithvale,29B Randall Av,3,h,,PN,Buxton,29/07/2017,27,3196,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2546
Surrey Hills,3 Varzin Av,4,h,1900000,VB,Marshall,12/11/2016 0:00,11.2,3127,,,,,,,Boroondara City Council,,,Southern Metropolitan,5457
Beaumaris,9A Comas Rd,3,h,1150000,VB,Marshall,23/09/2017,17.3,3193,3,2,2,335,,1996,Bayside City Council,-37.97316,145.04042,Southern Metropolitan,5366
South Melbourne,18 Martin St,3,h,1935000,S,Greg,26/08/2017,1.9,3205,3,2,,,,,Port Phillip City Council,-37.83841,144.95908,Southern Metropolitan,5943
Balwyn North,14 Panoramic Rd,4,h,,S,Fletchers,28/10/2017,9.7,3104,4,2,1,,,,Boroondara City Council,-37.79276,145.07912,Southern Metropolitan,7809
Footscray,6 Coral Av,3,h,985000,S,Sweeney,8/4/2017 0:00,6.4,3011,,,,,,,Maribyrnong City Council,,,Western Metropolitan,7570
Essendon North,1 Dudley St,3,h,1425000,S,McGrath,25/02/2017,9.4,3041,3,2,2,10100,,,Moonee Valley City Council,-37.7376,144.8954,Western Metropolitan,1308
Thornbury,172A Normanby Av,2,h,816000,S,Love,17/03/2018,7,3071,2,1,2,166,87,1994,Darebin City Council,-37.75773,144.98542,Northern Metropolitan,8870
Essendon,2/14 Bulla Rd,3,u,906500,S,Brad,25/11/2017,7.5,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
Glenroy,9 Kiama St,3,h,1000000,PI,Eview,28/10/2017,11.2,3046,3,2,2,704,,,Moreland City Council,-37.71193,144.91794,Northern Metropolitan,8870
Glen Iris,31 Gardiner Pde,4,h,2625000,PI,Marshall,19/11/2016,9.2,3146,4,3,2,840,326,1930,Boroondara City Council,-37.8538,145.0641,Southern Metropolitan,10412
Malvern East,2/1810 Malvern Rd,3,t,,W,Rombotis,27/05/2017,8.4,3145,3,2,2,1211,216,2012,Stonnington City Council,-37.86889,145.06004,Southern Metropolitan,8801
Huntingdale,33 Beauford St,3,h,1205000,SA,FN,23/09/2017,12.3,3166,3,2,4,622,0,1960,Monash City Council,-37.90823,145.10851,Southern Metropolitan,768
Williamstown,12 Courtis St,3,h,1690000,S,Williams,28/10/2017,6.8,3016,3,2,0,,195,1910,Hobsons Bay City Council,-37.85331,144.88901,Western Metropolitan,6380
Reservoir,8 Balfour St,3,h,777500,S,Barry,18/11/2017,12,3073,,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Aspendale,2a Gladstone Av,5,h,1300000,PI,Ray,9/12/2017 0:00,21.5,3195,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2824
Hoppers Crossing,26 Abbotswood Dr,4,h,602000,S,hockingstuart,26/08/2017,18.4,3029,4,2,2,603,150,1985,Wyndham City Council,-37.84958,144.67154,Western Metropolitan,13830
Coburg,19 Audley St,4,h,1136000,S,Ray,18/03/2017,7.8,3058,4,3,1,420,146,1920,Darebin City Council,-37.7501,144.962,Northern Metropolitan,11204
Malvern East,32 Karma Av,3,h,,SP,Marshall,26/08/2017,8.4,3145,3,1,2,663,178,1930,Stonnington City Council,-37.88035,145.06543,Southern Metropolitan,8801
Wollert,6 Burley St,2,u,390000,S,Ray,1/7/2017 0:00,25.5,3750,2,1,1,197,,,Whittlesea City Council,-37.61401,145.03301,Northern Metropolitan,2940
Fawkner,34 Stanford Cl,3,h,670000,VB,Nelson,16/09/2017,13.1,3060,3,2,2,350,,,Hume City Council,-37.69592,144.96381,Northern Metropolitan,5070
Heidelberg West,22 Redwood St,1,h,636000,S,Barry,26/07/2016,9.4,3081,1,1,1,588,,,Banyule City Council,-37.7454,145.0397,Eastern Metropolitan,2674
Balwyn North,17 Cumberland Av,4,h,,SN,hockingstuart,13/05/2017,9.2,3104,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809
Prahran,8/67 High St,2,u,700000,S,hockingstuart,12/11/2016 0:00,4.5,3181,2,1,1,0,,1888,Stonnington City Council,-37.851,144.988,Southern Metropolitan,7717
Toorak,2/125 Canterbury Rd,2,u,,VB,Kay,27/11/2016,4.6,3142,2,3,2,0,185,2008,Stonnington City Council,-37.843,145.0103,Southern Metropolitan,7217
Balwyn North,3 Lime Av,4,h,2200000,PI,Buxton,25/11/2017,9.7,3104,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809
Doncaster,11 Rose St,3,h,,PN,RT,12/8/2017 0:00,12.4,3108,3,1,1,734,113,1960,Manningham City Council,-37.78932,145.12173,Eastern Metropolitan,9028
St Kilda,301/8 Blanche St,2,u,540000,SP,McGrath,13/08/2016,6.1,3182,2,1,1,0,70,2003,Port Phillip City Council,-37.8653,144.9824,Southern Metropolitan,13240
MacLeod,49 Harborne St,5,h,,VB,Darren,9/12/2017 0:00,12.7,3085,,,,,,,Banyule City Council,,,Northern Metropolitan,4168
Richmond,134 Coppin St,3,h,1456000,S,Jellis,18/06/2016,2.6,3121,3,2,1,157,141,1900,Yarra City Council,-37.8225,145.0029,Northern Metropolitan,14949
Flemington,5/60 Farnham St,1,u,345000,SP,Nelson,18/06/2016,4.4,3031,1,1,1,0,46,1970,Melbourne City Council,-37.7826,144.9311,Northern Metropolitan,3593
Armadale,7/844 Malvern Rd,2,u,471500,S,Ray,30/07/2016,6.3,3143,2,1,1,0,,1980,Stonnington City Council,-37.8503,145.0185,Southern Metropolitan,4836
Doncaster,28 Larkspur Av,3,h,880000,PI,Barry,4/6/2016 0:00,13.9,3108,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028
Bundoora,4 Nathan Ct,5,h,,PI,Barry,12/8/2017 0:00,12.1,3083,5,2,2,568,572,,Banyule City Council,-37.69358,145.05862,Northern Metropolitan,10175
Reservoir,1/73 Purinuan Rd,3,u,400000,PI,Ray,13/08/2016,11.2,3073,3,1,1,172,97,1970,Darebin City Council,-37.7092,145.0274,Northern Metropolitan,21650
Glenroy,11 Freeman Dr,4,h,,S,Stockdale,19/11/2016,13,3046,4,2,1,504,,,Moreland City Council,-37.7148,144.9358,Northern Metropolitan,8870
Springvale,33 Whitworth Av,4,h,1005000,S,Leyton,24/06/2017,20.8,3171,,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,7412
Armadale,15/405 Dandenong Rd,1,u,280000,PI,hockingstuart,10/9/2016,6.3,3143,1,1,1,0,38,1975,Stonnington City Council,-37.8619,145.0185,Southern Metropolitan,4836
Reservoir,3 Sheargold Ct,3,h,475000,S,Nelson,18/06/2016,11.2,3073,3,1,1,535,133,1970,Darebin City Council,-37.692,144.9781,Northern Metropolitan,21650
Templestowe Lower,11/231 High St,3,u,,SN,Woodards,24/02/2018,12.4,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
Kew,6/385 Barkers Rd,3,t,1405000,S,Buckingham,29/07/2017,5.4,3101,3,2,2,325,129,1980,Boroondara City Council,-37.81614,145.05056,Southern Metropolitan,10331
Lalor,3/115 Messmate St,2,u,500000,S,Love,24/02/2018,16.3,3075,,,,,,,Whittlesea City Council,,,Northern Metropolitan,8279
Hoppers Crossing,2 Burge Cr,4,h,650000,SP,Triwest,22/07/2017,18.4,3029,4,2,2,680,205,1985,Wyndham City Council,-37.86821,144.69566,Western Metropolitan,13830
Coburg,11 Rolls St,2,h,960000,S,Woodards,3/6/2017,6.7,3058,2,1,3,398,,,Darebin City Council,-37.74966,144.9682,Northern Metropolitan,11204
Hampton,62/15 Beach Rd,3,u,,SP,Buxton,3/9/2017,13.8,3188,3,2,2,,,,Bayside City Council,-37.93464,144.99601,Southern Metropolitan,5454
Surrey Hills,2/247 Elgar Rd,3,u,930000,S,Fletchers,4/2/2016,11.2,3127,3,2,2,252,,1992,Boroondara City Council,-37.8344,145.1114,Southern Metropolitan,5457
Brunswick East,536/22 Barkly St,1,u,390000,PI,McGrath,7/10/2017,4,3057,,,,,,,Moreland City Council,,,Northern Metropolitan,5533
Glen Waverley,52 Bogong Av,4,h,,PI,Harcourts,10/3/2018,16.7,3150,4,3,2,846,,,Monash City Council,-37.88154,145.15811,Eastern Metropolitan,15321
Fitzroy,20 Westgarth St,2,h,1315000,S,Jellis,18/03/2017,1.6,3065,2,1,0,141,,,Yarra City Council,-37.7946,144.9765,Northern Metropolitan,5825
Hampton East,5/17 Keiller St,2,u,540000,S,Buxton,25/11/2017,13.8,3188,,,,,,,Bayside City Council,,,Southern Metropolitan,2356
Carlton North,910 Lygon St,2,h,1650000,PI,Woodards,14/10/2017,3.5,3054,3,1,2,392,173,1910,Melbourne City Council,-37.7846,144.96995,Northern Metropolitan,3106
Ivanhoe,39 Thoresby Gr,4,h,3020000,S,Miles,8/4/2017,7.9,3079,4,2,1,1250,,,Banyule City Council,-37.7639,145.0506,Eastern Metropolitan,5549
Moonee Ponds,2 Grosvenor St,3,h,1400000,S,McDonald,4/11/2017,6.2,3039,3,1,1,388,157,1930,Moonee Valley City Council,-37.7658,144.9167,Western Metropolitan,6232
Mentone,5 Lyons Ct,3,h,950000,SP,Thomson,21/10/2017,20,3194,3,1,1,567,,1970,Kingston City Council,-37.98121,145.07717,South-Eastern Metropolitan,6162
Brunswick,42 Stewart St,2,h,970000,S,Nelson,6/1/2018,5.2,3056,2,1,0,241,113,1910,Moreland City Council,-37.76392,144.9662,Northern Metropolitan,11918
Epping,14 Devora Rd,4,h,711000,SP,Love,21/10/2017,19.6,3076,4,2,2,530,213,1993,Whittlesea City Council,-37.63722,145.04183,Northern Metropolitan,10926
Carlton,226 Elgin St,2,u,650000,VB,Nelson,17/02/2018,1.6,3053,2,1,4,1439,72,2006,Melbourne City Council,-37.79687,144.96685,Northern Metropolitan,6786
Kensington,13 Youlden St,3,h,870000,S,Greg,8/10/2016,4.2,3031,3,1,1,211,95,1992,Melbourne City Council,-37.7891,144.926,Northern Metropolitan,5263
South Melbourne,338 Dorcas St,2,h,,SN,Greg,13/08/2016,2.1,3205,2,1,0,80,,,Port Phillip City Council,-37.8346,144.9542,Southern Metropolitan,5943
McKinnon,1/6 Claire St,2,u,675500,SP,Steller,18/11/2017,11.4,3204,,,,,,,Glen Eira City Council,,,Southern Metropolitan,2397
Elwood,2/131 Brighton Rd,2,u,507000,S,Morleys,3/12/2016 0:00,7.7,3184,2,1,1,0,79,1970,Port Phillip City Council,-37.8752,144.9911,Southern Metropolitan,8989
Balwyn North,23A The Boulevard,5,h,1920000,S,Marshall,27/11/2016,9.2,3104,5,3,2,900,355,1955,Boroondara City Council,-37.7868,145.0677,Southern Metropolitan,7809
Preston,340 Plenty Rd,4,h,950000,S,McGrath,23/09/2017,8.4,3072,4,1,2,678,,,Darebin City Council,-37.74283,145.0086,Northern Metropolitan,14577
